,Product_Name1,Rating1,Original_Price1,Price1,Discount(%)1,Discount_Price1,Delivery1,Brand_Name1,Colour1,Storage1,Product_Name2,Rating2,Original_Price2,Price2,Discount(%)2,Discount_Price2,Delivery2,Brand_Name2,Colour2,Storage2
0,"realme C11 2021 (Cool Grey, 32 GB)",4.4,7999,7499,6% off,500,Free delivery,Realme,Grey,32,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)",4.3,16999,14999,11% off,2000,Free delivery,Samsung,Blue,128
1,"realme C11 2021 (Cool Blue, 64 GB)",4.3,9999,8999,10% off,1000,Free delivery,Realme,Blue,64,"SAMSUNG Galaxy F12 (Sky Blue, 64 GB)",4.2,12999,11499,11% off,1500,Free delivery,Samsung,Blue,64
2,"realme C11 2021 (Cool Blue, 32 GB)",4.4,7999,7499,6% off,500,Free delivery,Realme,Blue,32,"SAMSUNG Galaxy F12 (Celestial Black, 64 GB)",4.2,12999,11499,11% off,1500,Free delivery,Samsung,Black,64
3,"realme C11 2021 (Cool Grey, 64 GB)",4.3,9999,8999,10% off,1000,Free delivery,Realme,Grey,64,"SAMSUNG Galaxy F22 (Denim Blue, 64 GB)",4.3,14999,12999,13% off,2000,Free delivery,Samsung,Blue,64
4,"realme C25_Y (Glacier Blue, 64 GB)",4.5,12999,10999,15% off,2000,Free delivery,Realme,Blue,64,"SAMSUNG Galaxy F12 (Sea Green, 64 GB)",4.2,12999,11499,11% off,1500,Free delivery,Samsung,Green,64
5,"realme C25_Y (Glacier Blue, 128 GB)",4.5,13999,11999,14% off,2000,Free delivery,Realme,Blue,128,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)",4.3,14999,12999,13% off,2000,Free delivery,Samsung,Black,64
6,"realme C25Y (Metal Grey, 128 GB)",4.5,13999,11999,14% off,2000,Free delivery,Realme,Grey,128,"SAMSUNG Galaxy F12 (Sky Blue, 128 GB)",4.2,13999,12499,10% off,1500,Free delivery,Samsung,Blue,128
7,"realme C25Y (Glacier Blue, 128 GB)",4.5,13999,11999,14% off,2000,Free delivery,Realme,Blue,128,"SAMSUNG M32 5G (Slate Black, 128 GB)",4.2,20200,19000,5% off,1200,Free delivery,Samsung,Black,128
8,"realme C25Y (Metal Grey, 64 GB)",4.5,12999,10999,15% off,2000,Free delivery,Realme,Grey,64,"SAMSUNG Galaxy F12 (Sea Green, 128 GB)",4.2,13999,12499,10% off,1500,Free delivery,Samsung,Green,128
9,"realme Narzo 50A (Oxygen Green, 128 GB)",4.4,13999,12499,10% off,1500,Free delivery,Realme,Green,128,"SAMSUNG Galaxy M32 5G (Sky Blue, 128 GB)",4.2,22584,21189,6% off,1395,Free delivery,Samsung,Blue,128
10,"realme Narzo 50A (Oxygen Blue, 128 GB)",4.4,13999,12499,10% off,1500,Free delivery,Realme,Blue,128,"SAMSUNG Galaxy M12 (White, 128 GB)",4.2,14170,13871,2% off,299,Free delivery,Samsung,White,128
