,Product_Name1,Rating1,Original_Price1,Price1,Discount(%)1,Discount_Price1,Delivery1
0,"realme C11 2021 (Cool Grey, 32 GB)",4.4,7999,7499,6% off,500,Free delivery
1,"realme C11 2021 (Cool Blue, 64 GB)",4.3,9999,8999,10% off,1000,Free delivery
2,"realme C11 2021 (Cool Blue, 32 GB)",4.4,7999,7499,6% off,500,Free delivery
3,"realme C11 2021 (Cool Grey, 64 GB)",4.3,9999,8999,10% off,1000,Free delivery
4,"realme C25_Y (Glacier Blue, 64 GB)",4.5,12999,10999,15% off,2000,Free delivery
5,"realme C25_Y (Glacier Blue, 128 GB)",4.5,13999,11999,14% off,2000,Free delivery
6,"realme C25Y (Metal Grey, 128 GB)",4.5,13999,11999,14% off,2000,Free delivery
7,"realme C25Y (Glacier Blue, 128 GB)",4.5,13999,11999,14% off,2000,Free delivery
8,"realme C25Y (Metal Grey, 64 GB)",4.5,12999,10999,15% off,2000,Free delivery
9,"realme Narzo 50A (Oxygen Green, 128 GB)",4.4,13999,12499,10% off,1500,Free delivery
10,"realme Narzo 50A (Oxygen Blue, 128 GB)",4.4,13999,12499,10% off,1500,Free delivery
